"filename", "language", "JSON", "JavaScript", "CSS", "PHP", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2023_11_03_131059_create_rules_table.php", "PHP", 0, 0, 0, 20, 0, 0, 6, 4, 30
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\migrations\2023_11_03_141506_create_rulescnds_table.php", "PHP", 0, 0, 0, 23, 0, 0, 7, 5, 35
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 19, 0, 0, 4, 4, 27
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\package.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 2, 1, 32
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\public\index.php", "PHP", 0, 0, 0, 14, 0, 0, 30, 12, 56
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\resources\js\app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\resources\js\bootstrap.js", "JavaScript", 0, 3, 0, 0, 0, 0, 23, 7, 33
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\resources\views\welcome.blade.php", "PHP", 0, 0, 0, 118, 0, 0, 0, 23, 141
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\routes\api.php", "PHP", 0, 0, 0, 22, 0, 0, 11, 12, 45
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\routes\channels.php", "PHP", 0, 0, 0, 5, 0, 0, 10, 4, 19
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\routes\console.php", "PHP", 0, 0, 0, 6, 0, 0, 10, 4, 20
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\routes\web.php", "PHP", 0, 0, 0, 5, 0, 0, 10, 4, 19
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\tests\CreatesApplication.php", "PHP", 0, 0, 0, 13, 0, 0, 3, 6, 22
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\tests\Feature\ExampleTest.php", "PHP", 0, 0, 0, 11, 0, 0, 4, 5, 20
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\tests\TestCase.php", "PHP", 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\tests\Unit\ExampleTest.php", "PHP", 0, 0, 0, 10, 0, 0, 3, 4, 17
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 1, 0, 0, 0, 2, 0, 3
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User1\Desktop\Configurator_Backend_Laravel\vite.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 9303, 20, 1, 2238, 29, 45, 1241, 786, 13663
